"","N","layer_N","y_bar","y_bar1","rmse","rmse1","rang","R_squared","y_min","y_max","sum_f","nrmse_mean_not_sum","y_bar2"
"1","10_1",10,10.5434479500702,10.6673670248996,1.80909686880059,1.81969713648404,35.4592954675023,0.847607666538675,4.63659086157778,40.0958863290801,5667.68808236741,0.176433458126738,10.3137871682869
"2","10_10",10,10.0354816503596,10.1335802002165,2.23352341547121,2.24441340404881,40.8586304813715,0.779937112990141,4.43484829934174,45.2934787807132,3618.58286593894,0.217612926021004,10.3137871682869
"3","10_100",10,10.3280934769311,10.4290523574485,1.97877249416239,1.98842039384853,30.3931016405166,0.780948984777583,4.66003530170802,35.0531369422246,3640.01469086235,0.192792459394796,10.3137871682869
"4","10_11",10,9.86549039087043,9.97167472971541,1.7665634679693,1.77604496966152,32.3811291598164,0.826698958368629,4.27566462428966,36.6567937841061,4865.71188261893,0.172201049011613,10.3137871682869
"5","10_12",10,11.0685632267181,11.1767603257086,2.84986026359234,2.86375532531559,46.491719234027,0.780107283695506,4.22262150065779,50.7143407346848,3622.17334907165,0.277662829239013,10.3137871682869
"6","10_13",10,10.0962488547204,10.2049168952311,1.70951137829466,1.71868666993862,41.4849147678771,0.855252433100441,4.36797364985427,45.8528884177314,6026.75057307028,0.166639726212625,10.3137871682869
"7","10_14",10,9.53882599243807,9.63206964827812,1.96428874484455,1.97386602612412,33.4708396274115,0.810342277880532,4.22530635962874,37.6961459870402,4362.3821717887,0.191381302902333,10.3137871682869
"8","10_15",10,10.0258382733979,10.1337484700784,1.94463144949009,1.95506867787922,32.9283061761684,0.804014998167343,3.14220849302317,36.0705146691916,4184.47988602176,0.189558757222634,10.3137871682869
"9","10_16",10,10.7306298556064,10.8355235980855,2.14645383954387,2.15691930305014,40.6998522199246,0.806027280295727,4.59362656078856,45.2934787807132,4242.62676956119,0.209129708404521,10.3137871682869
"10","10_17",10,10.6268690714348,10.7307485344987,2.50310396687778,2.5153083491641,48.0131432761282,0.801862675073316,4.3849041628096,52.3980474389378,4131.99174639506,0.243878248418604,10.3137871682869
"11","10_18",10,10.7830455743969,10.8991057518121,2.35685591108572,2.36950563112944,48.3177053011329,0.828228781760958,4.08034213780486,52.3980474389378,4918.13102367671,0.229741567521894,10.3137871682869
"12","10_19",10,11.1199918941777,11.2396786953871,2.33245474973512,2.34497350383461,33.6740232763293,0.827394277092809,4.06631970613457,37.7403429824639,4889.42167397569,0.227362991457201,10.3137871682869
"13","10_2",10,9.70533830924718,9.80979889770287,2.00462391752856,2.01538313756845,32.4734965828479,0.804140854433119,4.18329720125816,36.6567937841061,4187.8242098309,0.195406702182627,10.3137871682869
"14","10_20",10,10.4295549589492,10.5418104428518,1.96857085443842,1.97913657043224,48.1143642250825,0.824578792499347,4.28368321385533,52.3980474389378,4794.57632479359,0.191892322203209,10.3137871682869
"15","10_21",10,10.6004702907857,10.7040917012528,1.97150597934829,1.98111844969316,32.2837295073907,0.828656422192227,4.37306427671542,36.6567937841061,4937.78767715147,0.192084480450086,10.3137871682869
"16","10_22",10,10.0247032115879,10.122696400362,1.91873180697591,1.92808696632491,33.7670036144936,0.827942892581726,3.78055586398607,37.5475594784797,4913.07628037086,0.186942675359196,10.3137871682869
"17","10_23",10,10.659209840785,10.7634054404017,2.44958753447672,2.46153098673046,52.5301211933829,0.799826288085799,4.80580469925881,57.3359258926417,4079.56985123813,0.238664124687315,10.3137871682869
"18","10_24",10,10.4136642994742,10.5154596494202,2.0790778281084,2.08921478644214,46.4087730804848,0.821507289600898,4.58928063799748,50.9980537184823,4699.12155407965,0.202565241298182,10.3137871682869
"19","10_25",10,10.6048949514392,10.7085596137212,2.35601259313598,2.36749980211271,54.3693440697288,0.805885419039218,4.1170568859766,58.4864009557054,4238.78004818854,0.229547087164291,10.3137871682869
"20","10_26",10,10.3162570904563,10.4171002682711,2.09265012193454,2.10285325469193,34.8920921937536,0.798249928674199,4.38786999688809,39.2799621906417,4039.71692213289,0.203887594380252,10.3137871682869
"21","10_27",10,10.7414020885518,10.857014048409,2.14545047879761,2.15696554333627,40.7982590977754,0.827403272552333,4.49521968293784,45.2934787807132,4889.72966338121,0.20913419175146,10.3137871682869
"22","10_28",10,10.4825732638824,10.5953993949026,1.95897239753,1.96948659667369,32.2013196888349,0.811674896986591,4.45547409527118,36.6567937841061,4396.16589439684,0.190956683954999,10.3137871682869
"23","10_29",10,10.2476916496098,10.3478645885112,1.82222254941619,1.83110715864461,42.4678487846143,0.845463833117401,4.22262150065779,46.6904702852721,5585.86763879456,0.177539746435232,10.3137871682869
"24","10_3",10,10.8070098701528,10.9340266365014,2.28640662579025,2.29980365426595,30.1681028080477,0.768977009838381,4.74394864425597,34.9120514523037,3391.81642691547,0.222983431472915,10.3137871682869
"25","10_30",10,10.3245185313038,10.4356434861417,2.1088103807705,2.12012879052843,36.4898374168267,0.797777142864995,4.47294539107353,40.9627828079002,4023.94020760492,0.20556258878867,10.3137871682869
"26","10_31",10,10.565105226363,10.6683809372756,2.24024342170292,2.25116617501028,45.1117335176268,0.822242663829325,4.47294539107353,49.5846789087003,4722.78544365493,0.218267658453552,10.3137871682869
"27","10_32",10,10.1888319760611,10.2884295515846,2.22261594283024,2.23345274985101,45.2100539227542,0.817139135812654,4.37462498594611,49.5846789087003,4562.48012045899,0.216550207349486,10.3137871682869
"28","10_33",10,9.69175818575753,9.78649677994871,1.93733465236176,1.94678051359118,36.5295192398922,0.837647157947106,4.13613883397216,40.6656580738644,5267.77195551256,0.188755156745641,10.3137871682869
"29","10_34",10,10.9221818127777,11.0397395426608,2.35915471390702,2.37181677208818,43.8991582678283,0.81968041688527,4.47294539107353,48.3721036589018,4636.62354793165,0.229965650191143,10.3137871682869
"30","10_35",10,10.1773419153,10.2768271735141,1.74674122056224,1.75525780552759,32.4413095530184,0.833910920116831,3.14220849302317,35.5835180460416,5126.30360790847,0.170185575568662,10.3137871682869
"31","10_36",10,10.3472139617317,10.4585831922396,1.75773091331211,1.76716500890575,40.9762330953878,0.835559383275691,4.31724568532543,45.2934787807132,5182.84708436767,0.171340069372331,10.3137871682869
"32","10_37",10,10.0153277558312,10.1132292979215,1.68780478645247,1.69603401508664,32.2718896212965,0.847492872876346,4.3849041628096,36.6567937841061,5673.76908559274,0.164443379276009,10.3137871682869
"33","10_38",10,10.0474669139565,10.1556099042241,2.09484535756613,2.10608881423375,49.7530850065891,0.788668931428084,4.46199237100561,54.2150773775947,3806.55014661459,0.204201306452163,10.3137871682869
"34","10_39",10,11.0475634914206,11.1664707305651,2.51279006948343,2.52627671954045,41.5905768371362,0.8053155564462,5.09989344813591,46.6904702852721,4219.24758126928,0.244941715232238,10.3137871682869
"35","10_4",10,10.4500539931705,10.5522050585974,2.22165555017545,2.23248767461041,47.6754933395121,0.746857785924948,4.72255409942573,52.3980474389378,3012.30595701154,0.216456635975087,10.3137871682869
"36","10_40",10,10.1336205132849,10.2326783873151,1.86750136794002,1.87660674307272,32.004194963057,0.807194873442305,4.06631970613457,36.0705146691916,4274.50234596316,0.181951276718503,10.3137871682869
"37","10_41",10,10.1098935873634,10.2087195266338,2.29668690951418,2.30788486429616,46.9289774033739,0.804741393468567,3.78536333131085,50.7143407346848,4207.96285155879,0.223766966162778,10.3137871682869
"38","10_42",10,10.6478157343,10.7729614628129,2.31012871403515,2.32366474031121,41.7790075466816,0.787110148186307,3.51447123403158,45.2934787807132,3767.51279672909,0.225296944991851,10.3137871682869
"39","10_43",10,10.9892052806873,11.0966266421799,2.20789546036353,2.21866049473808,38.6404741343699,0.825896105841175,4.53460919304618,43.1750833274161,4843.31455156654,0.215115985867932,10.3137871682869
"40","10_44",10,10.6582512277795,10.76243745679,2.06105247647913,2.07110154861835,42.1547616877228,0.808404263952031,4.53570859754933,46.6904702852721,4307.92861323582,0.200809025319683,10.3137871682869
"41","10_45",10,11.1262244158709,11.2459782990163,2.3516336353372,2.36425532637589,46.2376396873849,0.826688890851057,4.38786999688809,50.625509684273,4865.36998585253,0.229232510599555,10.3137871682869
"42","10_46",10,10.1406115535837,10.2397377662287,2.01096757364228,2.02077244685525,32.7340061727421,0.81478302647242,3.92278761136398,36.6567937841061,4491.45374845716,0.195929236650216,10.3137871682869
"43","10_47",10,10.9458353241327,11.0636476417114,2.11200714157758,2.12334270899417,45.0118020203079,0.83816912627375,4.64051213805658,49.6523141583645,5282.87643212883,0.20587420259389,10.3137871682869
"44","10_48",10,10.4474835155464,10.5599319682577,2.22939957188124,2.24136520809907,42.015581106881,0.758559743455201,4.28368321385533,46.2992643207363,3204.64759852812,0.217317380272386,10.3137871682869
"45","10_49",10,10.4373591015674,10.5393860722572,1.82798042830536,1.83689311121992,41.9120082052817,0.834968841932852,4.7784620799904,46.6904702852721,5165.7105094456,0.178100738482178,10.3137871682869
"46","10_5",10,10.4835880717848,10.5860669385667,2.11394862267737,2.12425560052015,48.2809905529612,0.809275783373425,4.1170568859766,52.3980474389378,4332.27929540823,0.205962714360818,10.3137871682869
"47","10_50",10,11.0128708126155,11.120523508731,2.36333516902458,2.37485808067953,41.0097955668579,0.814763737769917,4.28368321385533,45.2934787807132,4490.87973514501,0.230260528158055,10.3137871682869
"48","10_51",10,10.2821022738238,10.3826115824633,1.78193766991352,1.79062586218271,42.0772283284349,0.840850542004688,4.61324195683722,46.6904702852721,5394.35329658537,0.173614777284582,10.3137871682869
