"","N","layer_N","y_bar","y_bar1","rmse","rmse1","rang","R_squared","y_min","y_max","sum_f","nrmse_mean_not_sum","y_bar2"
"1","10_1",10,21.6602483378392,22.2091881056408,6.37442627610398,6.45469503649064,137.839886072919,0.77832672594086,6.30251134594605,144.142397418865,3318.03082322808,0.299448832405178,21.5552519762606
"2","10_10",10,21.5361670050839,22.0819621562159,7.68238142929986,7.77912036821568,148.323511566682,0.717383433489342,5.21047093891625,153.533982505598,2398.75302788332,0.360892110042742,21.5552519762606
"3","10_100",10,21.5532041679312,22.0994310951016,12.8135724941103,12.974924988543,253.086014913229,0.652875958229794,5.34176429058886,258.427779203818,1777.3697764662,0.601937987216883,21.5552519762606
"4","10_11",10,21.493925378678,22.0619466624697,5.5159131683382,5.58832258360439,93.7281371222379,0.824108432193629,5.58440942622047,99.3125465484584,4422.94289426764,0.259255729868477,21.5552519762606
"5","10_12",10,21.9724642983273,22.52931661423,8.21229809441329,8.31570990896913,163.35837918776,0.766323400735831,4.26607641560878,167.624455603369,3099.05063654528,0.385785789844973,21.5552519762606
"6","10_13",10,22.0111289923978,22.5689611949507,6.76297777729025,6.84813929915782,106.505201941615,0.784488085941624,5.01004875242231,111.515250694037,3439.90838953816,0.317701658356852,21.5552519762606
"7","10_14",10,21.9639032477872,22.5205385993679,6.03458658536694,6.1105759785566,137.385298866851,0.83096937502222,6.7570985520137,144.142397418865,4645.70286892819,0.283484321374964,21.5552519762606
"8","10_15",10,22.1228599779413,22.7075021549482,6.6322536323604,6.71931765834487,102.887671373981,0.763341877459471,5.71874957728054,108.606420951262,3044.87640054837,0.311725312501335,21.5552519762606
"9","10_16",10,21.5280249131703,22.0969473474507,6.80258184905853,6.89188183601592,89.2380310392856,0.699622746585593,6.1844157887736,95.4224468280592,2198.7146672043,0.319730979883981,21.5552519762606
"10","10_17",10,21.6348460945772,22.1831420885264,5.74614714197618,5.81850441588722,103.861605566464,0.794955580407501,5.91497283676107,109.776578403225,3663.75746766516,0.26993441887366,21.5552519762606
"11","10_18",10,21.7351890766378,22.3095862509676,4.8202091787862,4.88348583261391,87.9935615044425,0.851920062490917,5.57471890965797,93.5682804141005,5430.93515920817,0.226556657189265,21.5552519762606
"12","10_19",10,21.6563884523215,22.2052303983149,10.527751091104,10.6603198107251,203.326701112103,0.657670278404516,5.02489787266892,208.351598984772,1815.49650493586,0.494557884197577,21.5552519762606
"13","10_2",10,22.4707048383656,23.0645395328255,6.47370217689838,6.5586848397741,105.854872260676,0.797843726127348,5.01393036574032,110.868802626416,3725.65472758304,0.304273169573585,21.5552519762606
"14","10_20",10,21.1558856911107,21.7149735793536,5.8116905039946,5.88798269683002,113.601415308006,0.797323419677843,5.61305535981942,119.214470667825,3713.66690211321,0.273157683487747,21.5552519762606
"15","10_21",10,22.7411692069955,23.3175029566976,6.67813351605449,6.76222665256778,112.939477369277,0.822104093234836,5.87588692079182,118.815364290069,4367.09524257055,0.313715963980157,21.5552519762606
"16","10_22",10,22.5005402047915,23.0707756482076,8.12277107483313,8.22505553728361,138.719052686638,0.788238264412447,5.87588692079182,144.59493960743,3517.56259365275,0.381580115432753,21.5552519762606
"17","10_23",10,23.4734900803567,24.0683831763742,7.64929523621288,7.74561754348375,100.985035215064,0.758210180967146,6.97493766857694,107.959972883641,2963.35314646393,0.359337833397364,21.5552519762606
"18","10_24",10,22.7817484679372,23.3838031314662,7.9221390231447,8.02613584775319,158.861234139451,0.724931339148318,5.42460438799333,164.285838527444,2487.87041765186,0.372351752444954,21.5552519762606
"19","10_25",10,22.7939111281676,23.3715815263472,8.67405763235169,8.783284066781,156.195003475389,0.737530375872366,5.96332963944175,162.158333114831,2655.41663160406,0.407477679985104,21.5552519762606
"20","10_26",10,22.2557336940265,22.8197649597674,7.2866628977649,7.37841882572216,102.54919531665,0.792189420373134,6.38040102053973,108.92959633719,3602.41044318722,0.342302601419283,21.5552519762606
"21","10_27",10,21.7549398128243,22.3062793645748,5.30031898209091,5.36706224900125,106.602726210807,0.831937799590344,4.26607641560878,110.868802626416,4677.91816777682,0.248990930605318,21.5552519762606
"22","10_28",10,21.6473348699393,22.195947369283,6.08812881426434,6.16479242787099,139.717740947731,0.804068444208187,4.42465647113379,144.142397418865,3878.11282723702,0.285999552900631,21.5552519762606
"23","10_29",10,20.6332877785333,21.1562010907665,7.52658895412974,7.62136610569124,144.675548314562,0.724816048774155,5.46935875197261,150.144907066535,2489.06654272666,0.353573510255638,21.5552519762606
"24","10_3",10,21.7785295685447,22.3304669599334,5.53539388066998,5.60509728389529,104.683747597397,0.840944433096499,5.64310554439157,110.326853141789,4996.31986951035,0.260033948574034,21.5552519762606
"25","10_30",10,22.0365672077344,22.5950440957868,6.32469972951956,6.40434231774895,156.573923688611,0.811420554319379,5.58440942622047,162.158333114831,4066.15058743177,0.297112848636714,21.5552519762606
"26","10_31",10,21.4456488491447,21.9891499815412,9.50681794245224,9.62653075399152,142.982256356112,0.654045985152782,4.90343644026605,147.885692796378,1786.57691324188,0.446597922612711,21.5552519762606
"27","10_32",10,20.6524553755959,21.1758544558645,5.90226239047607,5.97658551620369,157.380442406753,0.77798674566996,4.77789070807771,162.158333114831,3311.50262571793,0.277268181452291,21.5552519762606
"28","10_33",10,22.2479247993852,22.8117581628332,7.41994380793056,7.51337805060648,123.231133366362,0.799599189883163,6.50841175962792,129.73954512599,3770.54979966922,0.348563684566581,21.5552519762606
"29","10_34",10,22.0183141023149,22.5763283984665,6.82601861755521,6.91197396931156,95.7355354911165,0.780128029350773,5.58440942622047,101.319944917337,3352.95574765465,0.320663102288199,21.5552519762606
"30","10_35",10,20.5172895766223,21.0372631244986,10.3658080140069,10.4963374959792,203.046486089173,0.669133315065732,5.30511289559951,208.351598984772,1911.13524428348,0.486950350083548,21.5552519762606
"31","10_36",10,22.4163325809657,22.9844339346544,7.98504588300291,8.08559606695625,157.144402749091,0.788793433754296,5.01393036574032,162.158333114831,3529.29271162265,0.375110255071995,21.5552519762606
"32","10_37",10,21.785276815603,22.3373852037492,7.17005003845047,7.26033754097509,140.604769988401,0.718083161589551,6.31158091069712,146.916350899098,2407.05234752297,0.336824526522404,21.5552519762606
"33","10_38",10,21.1705460644916,21.7070752150173,5.28585026621752,5.35241133855267,120.941238375928,0.863345213754785,6.06219008538918,127.003428461317,5970.23528714375,0.248311239620275,21.5552519762606
"34","10_39",10,21.7450394968243,22.2961281429952,6.49120272425709,6.57294197003798,105.338892454082,0.764888813876888,5.52991017233443,110.868802626416,3074.37489909633,0.304934592148444,21.5552519762606
"35","10_4",10,23.0675286822273,23.652133421798,8.45709122726306,8.56358555316563,122.268542021539,0.677819625780306,5.37087462112632,127.639416642665,1988.13955664974,0.397285337355227,21.5552519762606
"36","10_40",10,21.0569803746398,21.6134544860204,5.81078299652383,5.88706327617583,139.249501406756,0.797879296517319,5.53934407972907,144.788845486485,3726.47652088192,0.27311502935152,21.5552519762606
"37","10_41",10,21.6118586932965,22.1829966080242,5.28185314003081,5.35118996345777,114.086984411725,0.854032313898394,4.51031406745471,118.59729847918,5523.18479419407,0.248254577091058,21.5552519762606
"38","10_42",10,20.2725755632319,20.8303395469822,5.07235149603084,5.14165641047645,95.7118694196233,0.82308289534466,5.60807549771368,101.319944917337,4387.17992713085,0.238533811441365,21.5552519762606
"39","10_43",10,23.3802442493239,23.9727741986203,8.58131816553083,8.68937679571891,150.079947679295,0.804741849665712,6.46559245970585,156.545540139001,3894.74675772627,0.403121095744497,21.5552519762606
"40","10_44",10,22.5462358481254,23.1176293648677,7.7369013751896,7.83432684623919,101.775557094867,0.701661501570536,6.1844157887736,107.959972883641,2222.54292514958,0.363453271382183,21.5552519762606
"41","10_45",10,21.2689516990561,21.807974762179,6.32463779266638,6.40427960096763,95.8155108476682,0.775786725011948,5.95906184495578,101.774572692624,3269.73706251496,0.297109939054335,21.5552519762606
"42","10_46",10,21.5558685965133,22.1021630488009,10.1524240202793,10.2802665045641,207.966776067529,0.701304973614361,5.93442136489029,213.901197432419,2218.76208681804,0.476926296936173,21.5552519762606
"43","10_47",10,20.3739843458034,20.8903260821278,5.47141488015623,5.54031263988681,139.717740947731,0.825674366522058,4.42465647113379,144.142397418865,4475.88952236375,0.257028433069978,21.5552519762606
"44","10_48",10,23.6159825278162,24.2144868368633,8.6154442424071,8.72393259878058,177.00395547539,0.771592071364854,6.11627263284237,183.120228108232,3192.33448592111,0.404724222588002,21.5552519762606
"45","10_49",10,21.4423854312611,21.9858038582414,5.63644450969382,5.70742037390255,137.03386254543,0.824364289993483,7.10853487343467,144.142397418865,4435.45480594427,0.264780962903532,21.5552519762606
"46","10_5",10,21.4622715909963,22.0061939966815,6.3894444614972,6.46990233555034,127.535008568489,0.777856788439448,5.53934407972907,133.074352648218,3309.01250554267,0.300154335596532,21.5552519762606
"47","10_50",10,21.9464241544349,22.5026165300489,6.89604601303547,6.98288317155918,103.012754684815,0.783793235373094,5.52589220953866,108.538646894354,3425.81606410756,0.323952750784339,21.5552519762606
"48","10_51",10,23.267522386902,23.8571956047327,9.29644681144131,9.41351056419853,123.863658205198,0.723617425231972,5.87588692079182,129.73954512599,2474.17358861409,0.436715403492656,21.5552519762606
"49","10_52",10,21.4851089999218,22.0296101783781,6.01400940001073,6.08973967887555,93.8906557015519,0.784148334613393,6.44519759657812,100.33585329813,3433.00652734105,0.282517675301701,21.5552519762606
"50","10_53",10,22.4558013855649,23.0736329580778,7.47442210110276,7.57654715782501,102.950753489965,0.744656094779748,5.91497283676107,108.865726326726,2750.0585799046,0.351494251432053,21.5552519762606
"51","10_54",10,22.443517434322,23.0123077388877,9.38916163963647,9.50739288637766,184.13236575,0.733951326885462,5.87588692079182,190.008252670792,2606.98163154591,0.441070830294557,21.5552519762606
"52","10_55",10,21.0450709289861,21.6012303087162,5.37740706439279,5.44799825923175,84.2696796311702,0.80691653514274,6.32080562412511,90.5904852552953,3945.07737748475,0.252745746847765,21.5552519762606
"53","10_56",10,21.3541794193318,21.9185076280879,6.32278821449555,6.40578977443518,101.170576829977,0.795690617880156,5.76210013716698,106.932676967144,3676.4437124002,0.297179999634894,21.5552519762606
"54","10_57",10,21.9672677380632,22.5239883565569,7.18932889872327,7.27985916665904,139.080205999114,0.787799798373462,5.70863948737147,144.788845486485,3508.34166865285,0.337730181705904,21.5552519762606
"55","10_58",10,21.7127666312147,22.2630373800522,6.47575294601621,6.55729764337911,87.997473411547,0.75637794425882,5.35274119166464,93.3502146032116,2933.95914072719,0.304208814195298,21.5552519762606
"56","10_59",10,21.5887145689992,22.1358414429759,7.07472412004381,7.16381124892353,158.747870806291,0.732967505531482,6.1844157887736,164.932286595065,2593.89515162137,0.332346439596866,21.5552519762606
"57","10_6",10,22.4416966127997,23.0104407719414,7.3949943890144,7.48811446083917,98.5842611233868,0.740810231504468,6.07849140217519,104.662752525562,2700.97725244038,0.347391645854386,21.5552519762606
"58","10_60",10,21.9657021746141,22.546191132717,7.34934375204764,7.4458212830448,94.9441050062629,0.720470179435075,6.83046768636108,101.774572692624,2433.09943823594,0.345429563581307,21.5552519762606
"59","10_61",10,23.0846330695728,23.6946920830393,7.44377554231137,7.54149271405465,157.144402749091,0.808947814592197,5.01393036574032,162.158333114831,3997.05837096301,0.349867991446368,21.5552519762606
"60","10_62",10,21.7011442034816,22.2746416718611,6.75094222533446,6.83956432001104,153.101627916032,0.722176249515641,5.71874957728054,158.820377493313,2453.83765194382,0.317303844443277,21.5552519762606
"61","10_63",10,21.7270965674762,22.3012798805702,5.51054541553674,5.58288436634314,95.5305017422663,0.826991793755992,6.48640544942169,102.016907191688,4512.38857539853,0.259003437885659,21.5552519762606
