"","Area","BC_CO_ma","CPC_CO_ma","CPC_BC_ma","BC_CO_mi","CPC_CO_mi","CPC_BC_mi","BC_CO_mn","CPC_CO_mn","CPC_BC_mn","BC_CO_md","CPC_CO_md","CPC_BC_md","BC_CO_sd","CPC_CO_sd","CPC_BC_sd","BC_CO_CV","CPC_CO_CV","CPC_BC_CV","BC_CO_q05","CPC_CO_q05","CPC_BC_q05","BC_CO_q10","CPC_CO_q10","CPC_BC_q10","BC_CO_q25","CPC_CO_q25","CPC_BC_q25","BC_CO_se","CPC_CO_se","CPC_BC_se","BC_CO_q75","CPC_CO_q75","CPC_BC_q75","BC_CO_q90","CPC_CO_q90","CPC_BC_q90","BC_CO_q95","CPC_CO_q95","CPC_BC_q95","BC_CO_n","CPC_CO_n","CPC_BC_n"
"1","All",3.65037876187167,7371.04712858926,22296.8866900962,0.102963214826341,260.887306968209,223.597758068084,0.696673220896818,1593.68102116093,3094.41428866963,0.568748587762938,1469.26506712368,2661.84176757069,0.445671562720656,725.260663171287,2114.25269649004,1.5631987301229,2.19739067908685,1.46359718202408,0.202800986272681,673.15570173011,808.117764224585,0.24421439727513,799.599247639244,1015.26917370126,0.37420008045108,1077.88043478261,1550.34831701761,0.00633577984693042,10.3094476064542,30.0385449616065,0.915406356697,1968.42659574468,4041.54267024017,1.32398881218862,2492.59706957978,5569.05468694475,1.56050701639196,2962.24575010332,7106.20028341511,4948,4949,4954
"2","CBD",1.71429425708452,4473.67259786477,13440.0443193848,0.114729376207492,439.451091579246,717.169338532332,0.539402845762161,1751.32516153933,3657.2361119347,0.495789899862564,1612.97339468379,3333.78589348773,0.23766687598676,712.111438191763,1776.89248462698,2.26957519226285,2.45934142833936,2.05822026013152,0.239384020787721,816.044890014544,1460.93073078465,0.288756250881661,961.475188937642,1760.59526329381,0.396376928940409,1246.71577472659,2374.08253183563,0.00876051727717781,26.2487758618177,65.4083162494279,0.619875624639409,2122.72901154434,4572.52555542782,0.849887277617831,2733.68549819783,6048.82071419021,1.01602831981591,3098.27651450693,7157.54417247771,736,736,738
"3","KAN",3.65037876187167,7371.04712858926,22296.8866900962,0.102963214826341,260.887306968209,223.597758068084,0.899346429756619,1498.46326712572,2488.22393666457,0.829122931067409,1447.21561111111,1526.59555705844,0.489845101871055,658.863033744962,2554.84489802467,1.83598126493742,2.27431680088119,0.973923676771296,0.210695759247966,573.726425454617,630.432831994251,0.311607610445046,698.534662610186,770.706139566282,0.563962933946485,1009.64561608853,1055.49836874924,0.0106715253885378,14.3502622676946,55.6585991957587,1.14965128141313,1868.9897336293,2560.90066428655,1.5314232956034,2355.26069723299,6104.12935238446,1.77234103737913,2646.17947916667,8122.5840868418,2107,2108,2107
"4","MAL1",2.21492959888498,5299.3097826087,11057.2908154531,0.172028903990274,583.33655394525,861.759025049556,0.673224083801561,1929.60844212584,3353.09562905775,0.523777924167909,1794.96261398176,3157.24716598631,0.396887458404469,792.785001380436,1472.51610086237,1.69625940438631,2.43396184181829,2.27711984072299,0.2815348354809,940.271135802823,1408.02036395879,0.315853044616525,1088.42898393476,1737.76830064891,0.393391976243939,1361.36352089949,2342.51092861768,0.0110246516223464,22.021805593901,40.8717003757077,0.846193138963747,2283.36303900194,4047.4298059193,1.31592019411196,3001.08671183628,5088.6103664324,1.5292676667707,3523.25261086513,5979.57170098009,1296,1296,1298
"5","MAL2",1.49152293349334,4423.84757676656,15501.1999684719,0.104307142450618,321.695825871332,359.999374930977,0.349465095689105,1160.22119497702,3743.13461700654,0.302020262796109,1080.50592656837,3599.47727185468,0.188664757210912,452.88000026835,1498.32788669623,1.85230723986479,2.56187333132297,2.49820793582108,0.171835981730932,672.880978239789,1740.72732752542,0.1901733201849,748.149868363317,2063.69326778479,0.221802892997082,877.930263157895,2738.10798936176,0.00663309962589409,15.9224128807304,52.6134082019815,0.417639483285046,1312.33928571429,4544.47391548344,0.559555669415894,1645.18665115971,5362.62066368339,0.718897105757554,1971.13368794326,6020.29683442734,809,809,811
