"","Road_type","Area","BC_CO_ma","CPC_CO_ma","CPC_BC_ma","BC_CO_mi","CPC_CO_mi","CPC_BC_mi","BC_CO_mn","CPC_CO_mn","CPC_BC_mn","BC_CO_md","CPC_CO_md","CPC_BC_md","BC_CO_sd","CPC_CO_sd","CPC_BC_sd","BC_CO_CV","CPC_CO_CV","CPC_BC_CV","BC_CO_q05","CPC_CO_q05","CPC_BC_q05","BC_CO_q10","CPC_CO_q10","CPC_BC_q10","BC_CO_q25","CPC_CO_q25","CPC_BC_q25","BC_CO_se","CPC_CO_se","CPC_BC_se","BC_CO_q75","CPC_CO_q75","CPC_BC_q75","BC_CO_q90","CPC_CO_q90","CPC_BC_q90","BC_CO_q95","CPC_CO_q95","CPC_BC_q95","BC_CO_n","CPC_CO_n","CPC_BC_n"
"1","Highway","All",3.49214509744954,7371.04712858926,13440.0443193848,0.102963214826341,412.28,332.068248314026,0.834079355337838,1759.49337164368,2831.84673733627,0.768664570013435,1639.60612244898,2125.99565836683,0.450481156897611,726.286900017052,2066.86511994046,1.85152995317718,2.42258723323025,1.3701168547553,0.227885348284102,802.087201125176,861.657982389846,0.322375087183304,959.674287118977,1016.24641434266,0.49816148462182,1265.35555555556,1418.32823663586,0.00825079205370747,13.3023148507287,37.8366542854358,1.09066316148113,2106.66448598131,3501.1952962381,1.44508169717971,2679.54358974359,5824.9710430623,1.68717809356279,3139.56603773585,7359.81532285825,2981,2981,2984
"2","Highway","CBD",1.71429425708452,4260.12345679012,13440.0443193848,0.114729376207492,439.451091579246,717.169338532332,0.556132300569831,1746.04591938076,3598.21388451259,0.510352674885514,1592.21558952528,3230.06769655701,0.253200276653457,723.475855127354,1849.1804311376,2.19641268927594,2.41341284163989,1.94584250618476,0.229296689799985,804.668363668626,1389.66483325015,0.280728418087508,944.54667494697,1678.00482638455,0.399688649524522,1232.9719937972,2278.30088982301,0.0102686271773565,29.3408203431383,74.8711271682636,0.64744679746704,2103.79381078574,4566.3697488604,0.880986302347631,2750.29757441549,6138.90800518781,1.06497915411273,3200.72444029772,7254.49464238029,608,608,610
"3","Highway","KAN",3.49214509744954,7371.04712858926,12321.1017653172,0.102963214826341,412.28,332.068248314026,0.902554453041504,1605.96099522026,2554.52529521003,0.847657735362132,1554.8671875,1693.12187612388,0.468506688330486,591.442560095958,2210.82749738578,1.92644945210438,2.7153287632187,1.15546115571236,0.205959326089162,756.955973751379,761.599330083547,0.322888651776835,904.97900969,910.357359988302,0.582364924821324,1220.89356535545,1186.42235780137,0.0111454477552584,14.0700065078598,52.5940461080894,1.15188824638946,1933.5277530135,2860.42534558545,1.50768337038949,2368.84826355525,6092.48339747646,1.73712721788736,2628.38616281997,7649.07839220548,1767,1767,1767
"4","Highway","MAL1",2.21492959888498,5299.3097826087,11057.2908154531,0.190877045338031,583.33655394525,861.759025049556,0.926937244809643,2263.70365758874,2921.32263176067,0.863092726447224,2086.99624310078,2505.4768515257,0.456687443622687,878.21956635861,1650.06319443954,2.02969724207148,2.57760558327664,1.77043075780678,0.313373372963752,1085.18757580203,1254.59126640946,0.387544772877986,1234.71822361612,1438.73947906222,0.555914053371996,1667.42753439848,1892.85747452041,0.0195444183296315,37.5843278151551,70.5516075926077,1.25354097562177,2746.77882522714,3332.38346469784,1.55668720901473,3463.37901224589,4781.25962273225,1.80397868894079,4017.81073177191,6319.50807863495,546,546,547
"5","Highway","MAL2",1.49152293349334,4423.84757676656,4176.51206205093,0.357205768616876,743.571208622017,931.967118916605,0.789011088753903,1828.97577147776,2391.841974159,0.781481312240409,1635.59072851754,2219.79719726648,0.274292632473896,773.034056686938,738.534247626572,2.87653037428554,2.36597049723315,3.23863379639558,0.430939065900087,889.260088724706,1455.15359956882,0.459433437869612,1134.91279234641,1599.4076737915,0.557528233521021,1363.72181851711,1951.23777534093,0.035411026585293,99.7982675866557,95.3443613887179,0.971220180546973,2190.28075732133,2639.04491874304,1.12712201457952,2613.74206781295,3448.11336694675,1.33101297463345,3394.95535714286,3962.20736024354,60,60,60
"6","Arterial","All",3.65037876187167,4967.6,20343.0621520114,0.163667984737861,260.887306968209,223.597758068084,0.629900043600125,1407.11362832773,3091.59014600715,0.510460855206027,1258.79387447961,2919.47253922601,0.437567102843017,768.896652818677,2431.95658573972,1.43955073292178,1.83004259827304,1.27123574661461,0.235522400623935,509.528957680251,540.183490940657,0.283372928028437,586.150065513627,690.344314947438,0.36172811887397,813.151496108063,1120.14856136293,0.0142265336432888,24.998986506217,79.027970366417,0.718000130462784,1822.33048114326,4206.07506296994,1.12681923501248,2426.50416471826,5416.853160214,1.52988647402661,2841.26361066119,6778.9062653642,946,946,947
"7","Arterial","CBD",0.766058195972346,4473.67259786477,9104.40048387699,0.21071330998722,524.305236270753,1424.00097564483,0.459937935425727,1776.40156179251,3938.51391449318,0.442413458615406,1644.74587956257,3802.45497785314,0.113061626036352,657.535011037456,1352.32805989344,4.06802866321636,2.70160756761789,2.91239532129765,0.299363704162648,906.857055996121,2080.21742714311,0.318026266725627,1151.45070493014,2370.04379493223,0.38495118110476,1281.1552088427,2997.16008716546,0.00999333030778521,58.1184331465195,119.530042692438,0.523375927018471,2188.04263336607,4605.49807065255,0.608216148387584,2711.24712764825,5491.44331809369,0.660125264519454,2924.10548394657,6278.44366341004,128,128,128
"8","Arterial","KAN",3.65037876187167,4261.77040816327,20343.0621520114,0.175117730837818,260.887306968209,223.597758068084,0.916411708566232,860.643474204769,1588.98539835303,0.723666691065149,709.844255889249,913.467002733399,0.582832535793347,612.487040436423,2927.24470327593,1.57234137129771,1.40516193386153,0.542826295517682,0.293161526600439,433.560551821106,404.213520324541,0.37846682158092,487.241716054843,468.788212006321,0.538787411663097,572.747268475691,646.724415473689,0.0323795853218526,34.0270578020235,162.624705737552,1.13922480415629,881.826324528885,1199.25632873397,1.69956258675239,1110.59387681159,1455.45049824946,2.12995492956429,2417.2523482183,8487.12118157307,324,324,324
"9","Arterial","MAL1",1.70302531626664,4967.6,9122.29408515461,0.172922275828237,667.901791456748,907.91509608394,0.577241174653217,1912.94846436341,3669.56328215973,0.521782929626178,1846.41250102266,3480.06280615781,0.263396693518562,717.809558679163,1395.98676823997,2.19152779384657,2.66498048296183,2.62865190820271,0.260944367654827,928.086291964512,1627.39527210757,0.303990837762553,1132.43974880262,2177.59828728043,0.390288776209115,1400.78191747573,2732.73781845687,0.0153877991379181,41.9348821759381,81.5544177943684,0.697902153395893,2252.33171428571,4411.29328486052,0.899408868857643,2717.92549637409,5376.53589065988,1.04856049123804,3232.47267156863,6048.76516301456,293,293,293
"10","Arterial","MAL2",0.885443662025896,3478.42173423423,15501.1999684719,0.163667984737861,434.696157036218,359.999374930977,0.353056357026735,1315.46122779984,4126.6969132399,0.339255127436263,1246.65266106443,3717.49637451046,0.118734686089195,454.333964641559,2102.31943704131,2.97348962342407,2.89536184871773,1.96292572885479,0.19796446234873,803.778339639115,1405.23139268871,0.22036618789829,919.89010989011,2285.36821651607,0.26586435686766,1037.49621254629,2911.99309221371,0.00837489902833606,32.0462470095579,147.918679414103,0.413950201298403,1446.8575,4854.48900607605,0.498590650325158,1869.9570448941,6213.5287753907,0.579532774223246,2148.09375,7953.81366169991,201,201,202
